============================================================
z_global + minSize (F4, F7, F8)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
|           |               ||           |               || (164,  6) |  5.405, 5.405 |
|           |               ||           |               || (165,  4) |  3.336, 3.336 |
|           |               ||           |               || (165,  5) |  4.371, 4.371 |
|           |               ||           |               || (165,  6) |  5.405, 5.405 |
|           |               ||           |               || (166,  4) |  3.336, 3.336 |
|           |               ||           |               || (166,  5) |  4.371, 4.371 |
|           |               ||           |               || (166,  6) |  5.405, 5.405 |
|           |               ||           |               || (167,  4) |  3.336, 3.336 |
|           |               ||           |               || (167,  5) |  4.371, 4.371 |
|           |               ||           |               || (167,  6) |  5.405, 5.405 |
|           |               ||           |               || (168,  4) |  3.336, 3.336 |
|           |               ||           |               || (168,  5) |  4.371, 4.371 |
|           |               ||           |               || (168,  6) |  5.405, 5.405 |
|           |               ||           |               || (169,  4) |  3.336, 3.336 |
|           |               ||           |               || (169,  5) |  4.371, 4.371 |
|           |               ||           |               || (169,  6) |  5.405, 5.405 |
|           |               ||           |               || (170,  4) |  3.336, 3.336 |
|           |               ||           |               || (170,  5) |  4.371, 4.371 |
|           |               ||           |               || (170,  6) |  5.405, 5.405 |
|           |               ||           |               || (171,  4) |  3.336, 3.336 |
|           |               ||           |               || (171,  5) |  4.371, 4.371 |
|           |               ||           |               || (171,  6) |  5.405, 5.405 |
|           |               ||           |               || (172,  4) |  3.336, 3.336 |
|           |               ||           |               || (172,  5) |  4.371, 4.371 |
|           |               ||           |               || (172,  6) |  5.405, 5.405 |
|           |               ||           |               || (173,  4) |  3.336, 3.336 |
|           |               ||           |               || (173,  5) |  4.371, 4.371 |
|           |               ||           |               || (173,  6) |  5.405, 5.405 |
|           |               ||           |               || (174,  4) |  3.336, 3.336 |
|           |               ||           |               || (174,  5) |  4.371, 4.371 |
|           |               ||           |               || (174,  6) |  5.405, 5.405 |
|           |               ||           |               || (175,  4) |  3.336, 3.336 |
|           |               ||           |               || (175,  5) |  4.371, 4.371 |
|           |               ||           |               || (175,  6) |  5.405, 5.405 |
|           |               ||           |               || (176,  4) |  3.336, 3.336 |
|           |               ||           |               || (176,  5) |  4.371, 4.371 |
|           |               ||           |               || (176,  6) |  5.405, 5.405 |
|           |               ||           |               || (177,  4) |  3.336, 3.336 |
|           |               ||           |               || (177,  5) |  4.371, 4.371 |
|           |               ||           |               || (177,  6) |  5.405, 5.405 |
|           |               ||           |               || (178,  4) |  3.336, 3.336 |
|           |               ||           |               || (178,  5) |  4.371, 4.371 |
|           |               ||           |               || (178,  6) |  5.405, 5.405 |
|           |               ||           |               || (179,  4) |  3.336, 3.336 |
|           |               ||           |               || (179,  5) |  4.371, 4.371 |
|           |               ||           |               || (179,  6) |  5.405, 5.405 |
|           |               ||           |               || (180,  4) |  3.336, 3.336 |
|           |               ||           |               || (180,  5) |  4.371, 4.371 |
|           |               ||           |               || (180,  6) |  5.405, 5.405 |
|           |               ||           |               || (181,  4) |  3.336, 3.336 |
|           |               ||           |               || (181,  5) |  4.371, 4.371 |
|           |               ||           |               || (181,  6) |  5.405, 5.405 |
|           |               ||           |               || (182,  4) |  3.336, 3.336 |
|           |               ||           |               || (182,  5) |  4.371, 4.371 |
|           |               ||           |               || (182,  6) |  5.405, 5.405 |
|           |               ||           |               || (183,  4) |  3.336, 3.336 |
|           |               ||           |               || (183,  5) |  4.371, 4.371 |
|           |               ||           |               || (183,  6) |  5.405, 5.405 |
|           |               ||           |               || (184,  4) |  3.336, 3.336 |
|           |               ||           |               || (184,  5) |  4.371, 4.371 |
|           |               ||           |               || (184,  6) |  5.405, 5.405 |
|           |               ||           |               || (185,  4) |  3.336, 3.336 |
|           |               ||           |               || (185,  5) |  4.371, 4.371 |
|           |               ||           |               || (185,  6) |  5.405, 5.405 |
|           |               ||           |               || (186,  4) |  3.336, 3.336 |
|           |               ||           |               || (186,  5) |  4.371, 4.371 |
|           |               ||           |               || (186,  6) |  5.405, 5.405 |
|           |               ||           |               || (187,  4) |  3.336, 3.336 |
|           |               ||           |               || (187,  5) |  4.371, 4.371 |
|           |               ||           |               || (187,  6) |  5.405, 5.405 |
|           |               ||           |               || (188,  4) |  3.336, 3.336 |
|           |               ||           |               || (188,  5) |  4.371, 4.371 |
|           |               ||           |               || (188,  6) |  5.405, 5.405 |
|           |               ||           |               || (189,  4) |  3.336, 3.336 |
|           |               ||           |               || (189,  5) |  4.371, 4.371 |
|           |               ||           |               || (189,  6) |  5.405, 5.405 |
|           |               ||           |               || (190,  4) |  3.336, 3.336 |
|           |               ||           |               || (190,  5) |  4.371, 4.371 |
|           |               ||           |               || (190,  6) |  5.405, 5.405 |
|           |               ||           |               || (191,  4) |  3.336, 3.336 |
|           |               ||           |               || (191,  5) |  4.371, 4.371 |
|           |               ||           |               || (191,  6) |  5.405, 5.405 |
|           |               ||           |               || (192,  4) |  3.336, 3.336 |
|           |               ||           |               || (192,  5) |  4.371, 4.371 |
|           |               ||           |               || (192,  6) |  5.405, 5.405 |
|           |               ||           |               || (193,  4) |  3.336, 3.336 |
|           |               ||           |               || (193,  5) |  4.371, 4.371 |
|           |               ||           |               || (193,  6) |  5.405, 5.405 |
|           |               ||           |               || (194,  4) |  3.336, 3.336 |
|           |               ||           |               || (194,  5) |  4.371, 4.371 |
|           |               ||           |               || (194,  6) |  5.405, 5.405 |
|           |               ||           |               || (195,  4) |  3.336, 3.336 |
|           |               ||           |               || (195,  5) |  4.371, 4.371 |
|           |               ||           |               || (195,  6) |  5.405, 5.405 |
|           |               ||           |               || (196,  4) |  3.336, 3.336 |
|           |               ||           |               || (196,  5) |  4.371, 4.371 |
|           |               ||           |               || (196,  6) |  5.405, 5.405 |
|           |               ||           |               || (197,  4) |  3.336, 3.336 |
|           |               ||           |               || (197,  5) |  4.371, 4.371 |
|           |               ||           |               || (197,  6) |  5.405, 5.405 |
|           |               ||           |               || (198,  4) |  3.336, 3.336 |
|           |               ||           |               || (198,  5) |  4.371, 4.371 |
|           |               ||           |               || (198,  6) |  5.405, 5.405 |
|           |               ||           |               || (199,  4) |  3.336, 3.336 |
|           |               ||           |               || (199,  5) |  4.371, 4.371 |
|           |               ||           |               || (199,  6) |  5.405, 5.405 |
|           |               ||           |               || (200,  4) |  3.336, 3.336 |
|           |               ||           |               || (200,  5) |  4.371, 4.371 |
|           |               ||           |               || (200,  6) |  5.405, 5.405 |
|           |               ||           |               || (201,  4) |  3.336, 3.336 |
|           |               ||           |               || (201,  5) |  4.371, 4.371 |
|           |               ||           |               || (201,  6) |  5.405, 5.405 |
|           |               ||           |               || (202,  4) |  3.336, 3.336 |
|           |               ||           |               || (202,  5) |  4.371, 4.371 |
|           |               ||           |               || (202,  6) |  5.405, 5.405 |
|           |               ||           |               || (203,  4) |  3.336, 3.336 |
|           |               ||           |               || (203,  5) |  4.371, 4.371 |
|           |               ||           |               || (203,  6) |  5.405, 5.405 |
|           |               ||           |               || (204,  4) |  3.336, 3.223 |
|           |               ||           |               || (204,  5) |  4.371, 4.265 |
|           |               ||           |               || (204,  6) |  5.405, 5.304 |
|           |               ||           |               || (205,  5) |  4.477, 3.976 |
|           |               ||           |               || (205,  6) |  5.504, 5.032 |
|           |               ||           |               || (206,  5) |  4.757, 3.680 |
|           |               ||           |               || (206,  6) |  5.769, 4.752 |
|           |               ||           |               || (207,  5) |  5.036, 3.378 |
|           |               ||           |               || (208,  5) |  5.309, 3.071 |
|           |               ||           |               || (254,  5) |  5.233, 3.340 |
|           |               ||           |               || (255,  5) |  4.742, 3.784 |
|           |               ||           |               || (255,  6) |  5.755, 4.850 |
|           |               ||           |               || (256,  4) |  3.282, 3.000 |
|           |               ||           |               || (256,  5) |  4.320, 4.054 |
|           |               ||           |               || (256,  6) |  5.356, 5.105 |
|           |               ||           |               || (257,  4) |  3.000, 3.000 |
|           |               ||           |               || (257,  5) |  4.054, 4.054 |
|           |               ||           |               || (257,  6) |  5.105, 5.105 |
|           |               ||           |               || (258,  4) |  3.000, 3.000 |
|           |               ||           |               || (258,  5) |  4.054, 4.054 |
|           |               ||           |               || (258,  6) |  5.105, 5.105 |
|           |               ||           |               || (259,  4) |  3.000, 3.000 |
|           |               ||           |               || (259,  5) |  4.054, 4.054 |
|           |               ||           |               || (259,  6) |  5.105, 5.105 |
